"SHP_NAME","OI_NAME","NOTE"
"John F Kennedy School","Kennedy John F Elementary School","Manual match"
"Kilmer K-8 School","Kilmer K-8 School (4-8)","Manual match"
"Henderson K-12 Inclusion School Upper","","No OI entry — school exists, OI score unavailable"
"Roosevelt K-8 School","Roosevelt K-8 School (2-8)","Manual match"
"Higginson/Lewis K-8 School","Higginson-Lewis K-8 School","Manual match"
"Boston International High School & Newcomers Academy","Boston International High School","Manual match"
"Shaw Elementary School","Shaw-Taylor Elementary School (2-6)","School rename confirmed"
"Ohrenberger School","Ohrenberger School (3-8)","Manual match"
"Albert D Holland School of Technology","Albert Holland School of Technology","Manual match"
"Melvin H. King South End Academy","Melvin H. King South End Academy (Combined)","Manual match"
"Sarah Roberts Elementary School","Roberts Elementary","Manual match"
