state,county,tract,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se
25,25,100,0.49495149,0.029170772
25,25,201,0.51012617,0.031347245
25,25,202,0.47011429,0.027868021
25,25,301,0.5082823,0.036432013
25,25,302,0.58280104,0.039577223
25,25,401,0.50124681,0.034699325
25,25,402,0.52357817,0.049890518
25,25,502,0.49027279,0.043879483
25,25,503,0.48730811,0.07278499
25,25,504,0.56724542,0.039913874
25,25,601,0.46446839,0.033046529
25,25,602,0.42764238,0.019601772
25,25,701,0.50142074,0.031295836
25,25,703,0.49513236,0.05493122
25,25,704,0.49634078,0.024214998
25,25,802,0.47943994,0.018815702
25,25,803,0.53226119,0.049247663
25,25,10103,,
25,25,10104,0.64561272,0.084893703
25,25,10203,0.3750726,0.031872731
25,25,10204,0.60225838,0.091043465
25,25,10300,0.46388817,0.094537094
25,25,10403,0.42599398,0.035148196
25,25,10404,0.43858325,0.049056318
25,25,10405,0.33299473,0.040687334
25,25,10408,0.50390303,0.053870138
25,25,10500,0.33665299,0.053794384
25,25,10600,0.3218089,0.052987542
25,25,10701,0.65307963,0.10322364
25,25,10702,0.3429566,0.1054581
25,25,10801,0.29544994,0.10055342
25,25,10802,0.5607577,0.084414944
25,25,20101,0.44471231,0.050366577
25,25,20200,0.36571875,0.059297223
25,25,20301,0.49610567,0.089454301
25,25,20302,0.42698115,0.0619228
25,25,20303,0.27525648,0.049032707
25,25,30100,0.48665938,0.080993913
25,25,30200,0.39753631,0.063628599
25,25,30300,0.47991863,0.040749598
25,25,30400,0.3436617,0.045424353
25,25,30500,0.51982284,0.062011395
25,25,40100,0.36144346,0.068194926
25,25,40200,0.42347741,0.026923019
25,25,40300,0.48628181,0.027191823
25,25,40401,0.40150899,0.031451385
25,25,40600,0.37163255,0.043404356
25,25,40801,0.40668875,0.020723414
25,25,50101,0.42396736,0.01444991
25,25,50200,0.39566633,0.017746408
25,25,50300,0.37924609,0.022617931
25,25,50400,0.44594243,0.029990545
25,25,50500,0.39966726,0.030091051
25,25,50600,0.42950934,0.027396489
25,25,50700,0.45400992,0.019792946
25,25,50901,0.44403028,0.019159419
25,25,51000,0.42358172,0.020833878
25,25,51101,0.42906564,0.018919967
25,25,51200,0.42360952,0.030481702
25,25,60101,0.34419668,0.032100968
25,25,60200,0.4986501,0.056180492
25,25,60301,0.46900183,0.050288301
25,25,60400,0.44236723,0.033297133
25,25,60501,0.34865817,0.0278509
25,25,60600,0.36136091,0.047174972
25,25,60700,0.40741488,0.021123368
25,25,60800,0.38595489,0.025046807
25,25,61000,0.38922384,0.017817756
25,25,61101,0.38599014,0.022040414
25,25,61200,0.33544159,0.026879791
25,25,70101,0.50406641,0.02751803
25,25,70200,0.57206798,0.017987583
25,25,70300,0.48910102,0.040471267
25,25,70402,0.49947491,0.024311509
25,25,70500,0.44305408,0.017429372
25,25,70600,0.4391315,0.056112241
25,25,70700,0.39904472,0.022709752
25,25,70800,0.41449863,0.030753722
25,25,70900,0.35561603,0.021656305
25,25,71101,0.38955122,0.025328122
25,25,71201,0.46529126,0.031896692
25,25,80100,0.38247895,0.018694241
25,25,80300,0.31928626,0.015111433
25,25,80401,0.34933227,0.01556995
25,25,80500,0.35928026,0.014813353
25,25,80601,0.32475662,0.016974993
25,25,80801,0.32559201,0.014952093
25,25,80900,0.42282766,0.027683387
25,25,81001,0.45664659,0.016341122
25,25,81100,0.44182947,0.023761671
25,25,81200,0.34787011,0.012796753
25,25,81300,0.35786518,0.01104446
25,25,81400,0.32519591,0.014819289
25,25,81500,0.37246999,0.017122915
25,25,81700,0.33791366,0.011223193
25,25,81800,0.3643814,0.014243229
25,25,81900,0.34776312,0.014062596
25,25,82000,0.34511867,0.017069425
25,25,82100,0.36272937,0.010890999
25,25,90100,0.36433566,0.011221671
25,25,90200,0.36002764,0.016724348
25,25,90300,0.34731066,0.01355035
25,25,90400,0.36528367,0.013808982
25,25,90600,0.38508835,0.018672325
25,25,90700,0.44750789,0.017005676
25,25,90901,0.34228498,0.018191483
25,25,91001,0.51983339,0.028041666
25,25,91100,0.50957751,0.016506394
25,25,91200,0.44885749,0.016707649
25,25,91300,0.37987161,0.017679373
25,25,91400,0.37962192,0.018088432
25,25,91500,0.36913633,0.011156096
25,25,91600,0.40171307,0.014857873
25,25,91700,0.37227491,0.013657072
25,25,91800,0.35571265,0.013212227
25,25,91900,0.34808528,0.012367452
25,25,92000,0.3799009,0.011278024
25,25,92101,0.42756143,0.014333243
25,25,92200,0.38070962,0.016699038
25,25,92300,0.34608746,0.014778663
25,25,92400,0.36203718,0.0098103583
25,25,100100,0.36220676,0.011606426
25,25,100200,0.38140845,0.015698245
25,25,100300,0.36457977,0.013568124
25,25,100400,0.38324663,0.013322013
25,25,100500,0.37292072,0.010847468
25,25,100601,0.44029763,0.015984256
25,25,100603,0.41997582,0.035452865
25,25,100700,0.55452818,0.033537574
25,25,100800,0.4591442,0.020495653
25,25,100900,0.4182516,0.018872058
25,25,101001,0.36454394,0.0098492587
25,25,101002,0.3971698,0.012831158
25,25,101101,0.39863318,0.015013382
25,25,101102,0.38552496,0.0113982
25,25,110103,0.41701266,0.013810702
25,25,110201,0.40996405,0.021113446
25,25,110301,0.45669699,0.027429698
25,25,110401,0.43915927,0.018362969
25,25,110403,0.46488386,0.02284361
25,25,110501,0.49635968,0.031751331
25,25,110502,0.44874251,0.021501033
25,25,110601,0.66031116,0.063135371
25,25,110607,0.52651972,0.02992391
25,25,120103,0.41049078,0.14731613
25,25,120104,0.40892059,0.031303272
25,25,120105,0.62505811,0.10949767
25,25,120201,0.37139219,0.018127525
25,25,120301,0.39247876,0.013594854
25,25,120400,0.40863502,0.027812371
25,25,120500,0.39643118,0.01617598
25,25,120600,0.42531016,0.035075661
25,25,120700,0.4668169,0.02842016
25,25,130100,0.53199893,0.040675316
25,25,130200,0.46607491,0.042066876
25,25,130300,0.64056623,0.047850262
25,25,130402,0.52342969,0.033778451
25,25,130404,0.51122558,0.034436252
25,25,130406,0.43543035,0.017393135
25,25,140102,0.42455566,0.021111516
25,25,140105,0.42907175,0.022597572
25,25,140106,0.3858481,0.018593516
25,25,140107,0.40722519,0.027847534
25,25,140201,0.43402642,0.040769842
25,25,140202,0.43567798,0.020624818
25,25,140300,0.40774703,0.013858724
25,25,140400,0.40373018,0.013159794
25,25,160101,0.4184593,0.011227271
25,25,160200,0.41643429,0.014907199
25,25,160300,0.41103435,0.028282052
25,25,160400,0.46143121,0.018586608
25,25,160501,0.45024672,0.013710973
25,25,160502,0.44609329,0.015593416
25,25,160601,0.41897586,0.021309735
25,25,160602,0.45880923,0.017884064
25,25,170100,0.48256865,0.020410523
25,25,170200,0.4759014,0.021552186
25,25,170300,0.49093077,0.021645067
25,25,170400,0.4807274,0.020599004
25,25,170501,0.4641186,0.023003869
25,25,170502,0.48468798,0.032527957
25,25,170601,0.51331341,0.022897318
25,25,170701,0.43842587,0.03495793
25,25,170702,0.46597946,0.015545927
25,25,170800,0.40367123,0.021068936
25,25,180101,0.51718771,0.025737703
25,25,180200,0.50212717,0.028920572
25,25,180301,0.4615812,0.041956745
25,25,180400,0.52160347,0.044574492
25,25,180500,0.49424747,0.026335411
25,25,980300,,
25,25,980700,,
25,25,981000,,
25,25,981100,,
25,25,981202,,
25,25,981300,,
25,25,981502,,
25,25,981800,,
